YEARMODA,MAX,MIN,TEMP1,TEMP2
20220601,19.6,11.1,19.5,15.6
20220602,21.8,12.3,18.4,21.0
20220603,,12.7,23.1,20.7
20220604,27.4,12.8,22.3,26.9
20220605,22.1,14.3,19.7,19.6
20220606,,11.4,19.7,22.9
20220607,19.0,13.3,18.0,16.8
20220608,21.1,,18.9,18.8
20220609,18.6,11.3,17.2,16.6
20220610,,7.3,18.5,21.8
20220611,25.6,9.1,21.8,25.1
20220612,29.1,10.9,24.1,28.6
20220613,24.4,13.1,21.6,23.9
20220614,25.9,9.9,21.6,25.8
20220615,,12.0,25.5,29.9
20220616,30.1,17.0,27.3,29.9
20220617,29.1,14.7,25.3,28.5
20220618,,12.9,27.4,32.8
20220619,35.1,17.1,30.0,34.8
20220620,30.9,18.9,27.4,30.7
20220621,30.8,,23.4,30.0
20220622,,15.3,19.9,23.0
20220623,29.3,13.8,24.7,28.7
20220624,23.0,13.5,22.9,17.1
20220625,26.2,10.3,21.0,25.6
20220626,28.9,15.1,23.3,28.2
20220627,23.5,14.5,21.9,23.5
20220628,20.9,13.1,18.8,20.0
20220629,26.2,15.6,21.9,25.4
20220630,,13.3,26.1,27.4
20220701,20.0,12.1,14.0,18.7
20220702,25.9,,20.4,25.0
20220703,30.1,13.5,25.7,29.8
20220704,24.7,17.9,21.7,24.7
20220705,,15.8,22.8,26.0
20220706,25.8,12.7,22.4,25.8
20220707,23.4,11.6,20.8,22.2
20220708,23.9,13.2,19.0,23.4
20220709,25.1,11.1,21.5,24.9
20220710,24.1,14.4,20.9,24.1
20220711,25.2,10.3,21.2,24.5
20220712,27.3,12.8,23.0,26.8
20220713,32.0,12.9,25.2,30.8
20220714,33.6,19.4,29.5,33.3
20220715,29.5,17.3,24.3,28.9
20220716,28.4,12.9,24.3,27.5
20220717,29.3,13.5,25.0,29.1
20220718,32.4,13.0,27.6,32.0
20220719,,14.3,28.7,34.0
20220720,33.4,17.5,30.4,32.9
20220721,28.4,17.3,23.2,27.6
20220722,33.4,14.1,26.5,31.5
20220723,27.6,18.4,20.4,25.5
20220724,30.8,17.0,26.5,30.5
20220725,34.2,16.4,30.4,34.2
20220726,26.3,18.4,22.3,25.8
20220727,27.4,14.6,23.7,26.4
20220728,29.1,13.3,24.2,29.1
20220729,25.3,16.2,20.5,22.6
20220730,26.7,14.9,24.6,25.7
20220731,30.0,15.2,26.3,29.1
20220801,31.1,15.2,26.9,30.3
20220802,30.5,15.1,24.4,29.7
20220803,33.7,15.1,27.7,32.6
20220804,,16.5,31.1,35.5
20220805,33.4,19.1,29.5,33.0
20220806,19.9,16.0,16.4,19.2
20220807,23.1,13.4,18.5,22.1
20220808,27.1,12.8,23.0,26.8
20220809,27.7,12.5,24.9,27.7
20220810,27.7,13.7,23.9,27.7
20220811,27.8,12.9,22.7,27.6
20220812,27.2,,24.1,27.2
20220813,28.1,11.8,22.7,27.5
20220814,27.7,10.7,23.7,26.6
20220815,26.8,15.1,24.3,22.5
20220816,29.6,12.1,23.6,28.3
20220817,29.5,16.4,26.5,29.5
20220818,21.7,14.8,20.0,21.7
20220819,19.5,16.1,17.6,18.9
20220820,22.9,14.0,18.0,22.9
20220821,25.5,16.1,20.0,25.0
20220822,26.2,12.9,22.4,25.6
20220823,27.0,12.6,23.6,27.0
20220824,27.8,11.1,23.2,27.8
20220825,29.0,12.8,22.7,28.0
20220826,28.9,14.2,24.9,28.9
20220827,23.3,16.1,20.1,23.3
20220828,25.6,14.7,19.6,25.2
20220829,27.0,,22.3,27.0
20220830,27.6,13.5,22.8,27.6
20220831,21.0,14.1,16.6,21.0
