DATE tmin tmax tmean rh wind_speed radiation
--------------------------------------------
20220601 11.1 19.6 14.8 83.1 1.8 126.7
20220602 12.3 21.8 17.0 81.4 2.3 231.3
20220603 12.7 24.8 -9999.0 82.2 2.4 198.1
20220604 12.8 27.4 21.1 70.2 2.5 322.2
20220605 14.3 22.1 18.4 85.6 3.0 116.2
20220606 11.4 23.8 18.0 76.7 2.1 283.7
20220607 13.3 19.0 16.2 83.3 2.3 165.9
20220608 9.9 21.1 15.3 79.6 2.2 230.5
20220609 11.3 18.6 14.6 77.0 3.4 243.6
20220610 7.3 22.2 15.5 69.4 2.4 359.7
20220611 9.1 25.6 18.3 63.7 1.2 358.3
20220612 10.9 29.1 20.8 60.7 1.7 356.6
20220613 13.1 24.4 19.8 63.6 2.8 292.8
20220614 9.9 25.9 18.5 57.8 2.9 359.2
20220615 12.0 30.6 22.1 60.3 1.7 330.5
20220616 17.0 30.1 23.8 59.2 3.4 345.3
20220617 14.7 29.1 22.1 52.3 2.0 337.2
20220618 12.9 33.2 23.5 55.9 2.2 344.5
20220619 17.1 35.1 26.9 52.1 2.2 337.7
20220620 18.9 30.9 25.2 52.8 3.1 333.5
20220621 16.4 30.8 22.6 66.9 2.3 278.9
20220622 15.3 23.9 19.4 85.9 2.4 132.9
20220623 13.8 29.3 21.3 71.6 2.6 339.0
20220624 13.5 23.0 17.3 88.1 2.0 108.1
20220625 10.3 26.2 19.2 70.8 2.3 349.8
20220626 15.1 28.9 22.2 70.2 2.8 335.2
20220627 14.5 23.5 18.9 77.9 3.3 240.1
20220628 13.1 20.9 17.6 84.7 2.7 94.3
20220629 15.6 26.2 20.7 72.0 1.6 269.8
20220630 13.3 28.9 20.8 73.7 2.5 251.8
20220701 12.1 20.0 15.4 80.1 2.3 199.2
20220702 10.7 25.9 18.8 70.6 2.6 344.6
20220703 13.5 30.1 22.5 63.9 1.8 340.5
20220704 17.9 24.7 20.0 81.4 2.2 177.5
20220705 15.8 26.6 21.1 64.0 1.9 306.7
20220706 12.7 25.8 19.7 57.7 2.6 349.0
20220707 11.6 23.4 18.1 59.9 3.1 248.0
20220708 13.2 23.9 18.3 59.0 2.5 343.1
20220709 11.1 25.1 19.1 57.8 2.5 333.1
20220710 14.4 24.1 19.2 60.1 2.9 235.8
20220711 10.3 25.2 18.9 56.2 4.2 345.9
20220712 12.8 27.3 20.6 55.3 3.4 351.5
20220713 12.9 32.0 22.8 50.9 1.6 338.8
20220714 19.4 33.6 26.5 43.7 3.3 318.3
20220715 17.3 29.5 23.6 42.6 3.5 334.6
20220716 12.9 28.4 21.8 44.8 3.2 341.9
20220717 13.5 29.3 22.0 44.9 3.4 342.4
20220718 13.0 32.4 23.5 45.8 2.4 339.4
20220719 14.3 34.7 25.2 45.8 2.0 340.8
20220720 17.5 33.4 24.2 61.0 2.6 236.5
20220721 17.3 28.4 22.8 66.4 1.9 299.6
20220722 14.1 33.4 24.2 58.8 2.4 324.3
20220723 18.4 27.6 22.1 78.0 2.4 178.3
20220724 17.0 30.8 24.2 62.0 1.8 323.7
20220725 16.4 34.2 25.8 57.2 3.5 309.8
20220726 18.4 26.3 22.4 57.2 3.3 194.2
20220727 14.6 27.4 21.5 52.2 2.3 274.6
20220728 13.3 29.1 21.5 59.9 2.4 280.8
20220729 16.2 25.3 19.2 79.8 2.2 127.0
20220730 14.9 26.7 21.2 62.9 2.4 209.7
20220731 15.2 30.0 23.0 54.9 2.5 267.0
20220801 15.2 31.1 23.5 55.3 2.4 299.6
20220802 15.1 30.5 22.9 64.2 1.6 313.5
20220803 15.1 33.7 24.8 55.1 1.4 310.6
20220804 16.5 36.0 26.9 50.0 1.8 308.7
20220805 19.1 33.4 26.0 58.3 2.8 261.8
20220806 16.0 19.9 18.2 80.7 3.2 62.0
20220807 13.4 23.1 18.1 77.5 3.0 115.7
20220808 12.8 27.1 20.6 62.9 3.9 309.0
20220809 12.5 27.7 21.5 53.1 4.2 310.0
20220810 13.7 27.7 21.2 51.2 3.8 308.4
20220811 12.9 27.8 21.2 52.4 3.3 300.5
20220812 13.8 27.2 21.0 48.0 4.0 308.1
20220813 11.8 28.1 20.5 50.5 3.7 307.2
20220814 10.7 27.7 20.2 58.8 2.4 225.5
20220815 15.1 26.8 19.7 72.0 3.5 262.2
20220816 12.1 29.6 21.2 60.7 1.6 287.9
20220817 16.4 29.5 22.4 60.0 3.2 221.0
20220818 14.8 21.7 18.0 86.9 1.6 109.0
20220819 16.1 19.5 17.8 91.9 2.2 37.0
20220820 14.0 22.9 18.0 88.4 2.0 144.3
20220821 16.1 25.5 19.6 74.5 1.6 253.4
20220822 12.9 26.2 19.7 67.1 2.1 276.3
20220823 12.6 27.0 19.8 63.1 2.4 280.8
20220824 11.1 27.8 20.1 63.0 3.0 276.3
20220825 12.8 29.0 20.8 68.2 1.1 271.5
20220826 14.2 28.9 20.8 73.0 2.4 223.9
20220827 16.1 23.3 19.0 84.6 1.8 143.0
20220828 14.7 25.6 19.6 79.0 2.6 184.4
20220829 13.0 27.0 20.1 74.0 2.3 261.0
20220830 13.5 27.6 20.4 75.3 2.2 228.7
20220831 14.1 21.0 17.5 85.2 2.1 111.3
